443	September 29, 2014, 06:50:17 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Invite Only]
443	September 28, 2014, 10:26:55 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting Mature NA &amp; EU Players]
443	September 23, 2014, 08:09:36 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting Mature NA &amp; EU Players]
443	September 21, 2014, 03:56:34 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting Mature NA Players]
443	May 28, 2014, 10:40:29 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	January 13, 2014, 03:28:40 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	September 20, 2013, 06:59:41 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	September 16, 2013, 10:24:00 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
42	September 12, 2013, 08:28:18 am	Regiments	Re: 9ème Regiment d'Infanterie Légère - &quot;l'Incomparable&quot;
8486	September 12, 2013, 04:16:02 am	Community	Re: Lax or Stricter regiments? Your opinion?
443	September 12, 2013, 04:06:34 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	September 11, 2013, 11:56:31 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	September 11, 2013, 04:46:24 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3664	September 10, 2013, 04:15:27 am	Regiments	Re: The Royal Army
5724	September 07, 2013, 03:20:53 pm	Community	Re: To Leaders - How did you come about leading?
8347	September 07, 2013, 03:05:06 pm	Events: EU	Re: Battle Of the Colonels. [N/A] [Tuesdays and Fridays]
443	September 06, 2013, 03:47:01 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
8347	August 31, 2013, 04:14:54 pm	Events: EU	Re: Battle Of the Colonels. [N/A] [Tuesdays and Fridays]
2383	August 31, 2013, 10:32:09 am	Media	Re: 2nd Coldstream Regiment Youtube Page [North American]
443	August 30, 2013, 03:42:40 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	August 24, 2013, 03:36:46 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3664	August 23, 2013, 09:50:01 pm	Regiments	Re: The Royal Army
443	August 23, 2013, 03:37:23 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
4438	August 21, 2013, 03:03:39 am	Regiments	Re: 29th Worcestershire Regiment Of Foot ____________________[Recruiting NA Players]
75	August 21, 2013, 12:52:17 am	Regiments	Re: 52nd Regiment of Foot 
443	August 20, 2013, 04:00:37 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
4438	August 20, 2013, 03:57:59 pm	Regiments	Re: 29th Worcestershire Regiment Of Foot---Recruiting NA Players---
443	August 20, 2013, 02:29:56 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
2958	August 19, 2013, 01:45:11 pm	Regiments	Re: 54th 'West Norfolk' Regiment of Foot
8000	August 19, 2013, 01:12:38 pm	Community	Re: NW Company  (Hiring)
443	August 18, 2013, 03:22:08 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	August 15, 2013, 03:54:10 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
7689	August 15, 2013, 02:07:48 pm	Events: EU	Re: 89th Royal Guard Thursday Siege *Accepting Applications!* [NA]
443	August 15, 2013, 02:02:42 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
7709	August 14, 2013, 03:13:50 am	Regiments	Re: Regiment List - New Manager (Again)
3664	August 12, 2013, 07:33:08 am	Regiments	Re: The Royal Army
7709	August 12, 2013, 07:27:50 am	Regiments	Re: Regiment List - New Manager (Again)
443	August 09, 2013, 12:28:22 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	August 08, 2013, 10:39:22 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	August 08, 2013, 04:42:15 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	August 06, 2013, 04:25:24 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3664	August 04, 2013, 12:56:15 am	Regiments	Re: The Royal Army
443	August 03, 2013, 08:52:01 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
7056	August 02, 2013, 01:05:30 am	Community	Re: How Many Hours Have You Played?
7214	August 02, 2013, 01:04:44 am	Community	Re: [Petition]Bring back the Baker Rifle's Bayonet! 400+ Signatures!
6892	July 09, 2013, 12:39:44 am	Regiments	Re: 4chan regiment ----- /b/rothers unite
6567	July 08, 2013, 01:37:32 am	Events: EU	Re: Marius's Casual {NA} Sunday Line Battle!
5576	July 07, 2013, 11:29:36 pm	The Mess Hall	Re: How famous is the player's regiment above you?
352	July 07, 2013, 11:05:26 pm	Events: EU	Re: SAdraGoons North American Sunday Line Battle Event: Blood for Duke Dickebutte
443	July 04, 2013, 03:39:35 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	July 03, 2013, 11:32:45 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	July 03, 2013, 11:28:13 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
6567	July 03, 2013, 11:14:02 pm	Events: EU	Re: Marius's Casual {NA} Sunday Line Battle!
6825	July 03, 2013, 10:59:14 pm	Regiments	Re: Regimental Leaders Steam Names
443	June 04, 2013, 10:39:05 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
4049	April 13, 2013, 02:25:31 am	Events: EU	Re: LGC Tuesday/Friday Siege &amp; Linebattle Events! (Accepting applications) [NA]
207	April 11, 2013, 12:59:29 am	Regiments	Re: 2nd Coldstream Guards [EU] *Disbanded*
1727	April 11, 2013, 12:56:55 am	Regiments	Re: Regiment List
4514	April 07, 2013, 11:34:16 pm	Events: EU	Re: NEC Sunday Showdown Event (Siege/Conquest) ~Accepting Applications~
4439	April 06, 2013, 04:10:14 pm	Community	Re: May 2 identicall Regiments exist
4439	April 06, 2013, 05:44:57 am	Community	Re: May 2 identicall Regiments exist
3288	April 06, 2013, 04:49:12 am	Events: EU	Re: NEC Tuesday Friday Line Battles! [~Accepting Applications~]
4049	April 06, 2013, 04:44:38 am	Events: EU	Re: LGC Tuesday/Friday Siege &amp; Linebattle Events! (Accepting applications) [NA]
443	April 05, 2013, 02:36:29 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
4438	April 05, 2013, 02:31:33 am	Regiments	Re: 29th Worcestershire Regiment Of Foot---Recruiting NA Players---
443	March 19, 2013, 08:33:38 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	March 17, 2013, 05:20:52 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	March 17, 2013, 12:58:20 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
1727	March 15, 2013, 03:33:35 am	Regiments	Re: Regiment List
3664	March 15, 2013, 03:28:38 am	Regiments	Re: The Royal Army
3664	March 14, 2013, 11:32:57 pm	Regiments	Re: The Royal Army
3664	March 09, 2013, 05:35:26 am	Regiments	Re: The Royal Army
443	March 09, 2013, 04:50:09 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3664	March 08, 2013, 11:12:33 am	Regiments	Re: The Royal Army
3724	March 08, 2013, 05:05:58 am	Regiments	Re: 4th King's German Legion [NA]
443	March 08, 2013, 04:10:30 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3664	March 07, 2013, 10:57:55 pm	Regiments	Re: The Royal Army
3664	March 06, 2013, 10:24:35 pm	Regiments	Re: The Royal Army
443	March 06, 2013, 05:36:05 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3664	March 06, 2013, 04:51:54 am	Regiments	Re: The Royal Army
3664	March 06, 2013, 04:50:47 am	Regiments	The Royal Army
187	March 04, 2013, 12:58:18 am	Regiments	Re: 89th Royal Guard (Recruiting Mature NA Players)
443	March 04, 2013, 12:54:00 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3596	March 03, 2013, 11:03:45 pm	News &amp; Announcements	Re: Developer Blog 12 - Text Compression &amp; Music
443	March 03, 2013, 07:49:13 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	March 03, 2013, 04:33:37 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
2012	March 02, 2013, 08:51:06 pm	Regiments	Re: 3éme Régiment d'Infanterie Légère &quot;3eVolt&quot; [Recruiting skilled American players]
443	March 02, 2013, 04:24:51 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	March 01, 2013, 07:43:26 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	February 23, 2013, 05:55:47 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
73	February 23, 2013, 01:39:10 pm	Regiments	Re: 84e Régiment d'Infanterie de ligne &quot;Un Contre Dix&quot; [Recruiting][EU Only]
443	February 23, 2013, 05:02:15 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	February 21, 2013, 06:09:47 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3288	February 20, 2013, 11:54:15 am	Events: EU	Re: NEC Tuesday Friday Line Battles! [We have returned!]
443	February 19, 2013, 10:42:05 pm	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
443	February 15, 2013, 01:26:48 am	Regiments	Re: 2nd Coldstream Regiment of Footguards [Recruiting NA Players]
3149	February 15, 2013, 01:25:32 am	Regiments	Re: 1st Regiment of Foot (Royal Scots) [NA/EU]
